timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709045755398,501,Create User,201,Created,Workload Config 1-52,text,true,,893,228,48,48,https://reqres.in/api/users,501,0,0
1709045755623,275,Get User,200,OK,Workload Config 1-99,text,true,,1182,123,48,48,https://reqres.in/api/users/2,275,0,194
1709045755637,267,Get User,200,OK,Workload Config 1-100,text,true,,1182,123,47,47,https://reqres.in/api/users/2,267,0,193
1709045755486,482,Create User,201,Created,Workload Config 1-54,text,true,,893,228,47,47,https://reqres.in/api/users,482,0,0
1709045755478,493,Create User,201,Created,Workload Config 1-57,text,true,,893,228,47,47,https://reqres.in/api/users,493,0,0
1709045755476,506,Create User,201,Created,Workload Config 1-55,text,true,,893,228,46,46,https://reqres.in/api/users,506,0,0
1709045755485,499,Create User,201,Created,Workload Config 1-58,text,true,,893,228,44,44,https://reqres.in/api/users,499,0,0
1709045755486,500,Create User,201,Created,Workload Config 1-56,text,true,,893,228,43,43,https://reqres.in/api/users,500,0,0
1709045755543,450,Create User,201,Created,Workload Config 1-60,text,true,,893,228,42,42,https://reqres.in/api/users,449,0,0
1709045755541,452,Create User,201,Created,Workload Config 1-59,text,true,,893,228,42,42,https://reqres.in/api/users,451,0,0
1709045755563,436,Create User,201,Created,Workload Config 1-67,text,true,,893,228,40,40,https://reqres.in/api/users,436,0,0
1709045755548,451,Create User,201,Created,Workload Config 1-66,text,true,,893,228,40,40,https://reqres.in/api/users,451,0,0
1709045755571,438,Create User,201,Created,Workload Config 1-64,text,true,,893,228,38,38,https://reqres.in/api/users,438,0,0
1709045755577,439,Create User,201,Created,Workload Config 1-62,text,true,,893,228,37,37,https://reqres.in/api/users,439,0,0
1709045755589,433,Create User,201,Created,Workload Config 1-65,text,true,,893,228,36,36,https://reqres.in/api/users,433,0,0
1709045755589,437,Create User,201,Created,Workload Config 1-68,text,true,,893,228,36,36,https://reqres.in/api/users,437,0,0
1709045755597,441,Create User,201,Created,Workload Config 1-63,text,true,,893,228,34,34,https://reqres.in/api/users,441,0,0
1709045755578,465,Create User,201,Created,Workload Config 1-61,text,true,,893,228,33,33,https://reqres.in/api/users,465,0,0
1709045755622,435,Create User,201,Created,Workload Config 1-69,text,true,,893,228,32,32,https://reqres.in/api/users,435,0,0
1709045755625,438,Create User,201,Created,Workload Config 1-71,text,true,,893,228,31,31,https://reqres.in/api/users,438,0,0
1709045755635,428,Create User,201,Created,Workload Config 1-72,text,true,,893,228,31,31,https://reqres.in/api/users,428,0,0
1709045755622,444,Create User,201,Created,Workload Config 1-70,text,true,,893,228,29,29,https://reqres.in/api/users,444,0,0
1709045755650,423,Create User,201,Created,Workload Config 1-73,text,true,,893,228,28,28,https://reqres.in/api/users,423,0,0
1709045755659,438,Create User,201,Created,Workload Config 1-81,text,true,,893,228,27,27,https://reqres.in/api/users,438,0,0
1709045755658,449,Create User,201,Created,Workload Config 1-74,text,true,,893,228,26,26,https://reqres.in/api/users,449,0,0
1709045755667,440,Create User,201,Created,Workload Config 1-75,text,true,,893,228,26,26,https://reqres.in/api/users,440,0,0
1709045755704,431,Create User,201,Created,Workload Config 1-80,text,true,,893,228,24,24,https://reqres.in/api/users,431,0,0
1709045755705,438,Create User,201,Created,Workload Config 1-76,text,true,,893,228,23,23,https://reqres.in/api/users,438,0,0
1709045755706,439,Create User,201,Created,Workload Config 1-77,text,true,,893,228,22,22,https://reqres.in/api/users,439,0,0
1709045755704,442,Create User,201,Created,Workload Config 1-83,text,true,,893,228,22,22,https://reqres.in/api/users,442,0,0
1709045755718,434,Create User,201,Created,Workload Config 1-82,text,true,,893,228,20,20,https://reqres.in/api/users,434,0,0
1709045755732,435,Create User,201,Created,Workload Config 1-85,text,true,,893,228,19,19,https://reqres.in/api/users,435,0,0
1709045755731,436,Create User,201,Created,Workload Config 1-86,text,true,,893,228,19,19,https://reqres.in/api/users,436,0,0
1709045755735,433,Create User,201,Created,Workload Config 1-78,text,true,,892,228,17,17,https://reqres.in/api/users,433,0,0
1709045755735,443,Create User,201,Created,Workload Config 1-79,text,true,,892,228,16,16,https://reqres.in/api/users,443,0,0
1709045755737,441,Create User,201,Created,Workload Config 1-87,text,true,,893,228,16,16,https://reqres.in/api/users,441,0,0
1709045755757,424,Create User,201,Created,Workload Config 1-88,text,true,,893,228,14,14,https://reqres.in/api/users,424,0,0
1709045755782,438,Create User,201,Created,Workload Config 1-91,text,true,,893,228,13,13,https://reqres.in/api/users,438,0,0
